customer_id,segment
1,1
2,0
4,1
5,1
6,3
7,0
8,0
9,0
10,2
11,2
12,1
13,2
14,1
15,3
16,1
17,3
19,2
20,2
21,1
22,1
23,3
24,1
25,0
26,2
27,1
28,0
29,0
30,0
31,0
32,1
33,2
34,3
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,3
43,3
44,0
45,3
46,1
47,1
48,2
49,2
50,1
51,2
52,2
54,0
55,0
56,2
57,0
58,2
59,3
60,1
61,2
62,1
63,3
64,1
65,0
66,3
67,2
68,3
69,2
70,2
71,0
72,3
73,0
74,1
75,1
76,0
77,2
78,0
79,1
80,3
81,0
82,2
83,2
84,3
85,2
86,0
87,3
88,0
89,3
90,0
91,1
92,1
93,1
94,0
95,3
96,0
97,3
98,0
99,1
100,1
101,1
102,0
103,2
104,3
105,2
107,2
108,1
109,2
110,2
111,3
112,1
113,3
114,1
115,3
116,3
117,0
118,2
119,0
120,1
121,3
122,2
123,2
124,0
126,3
127,0
129,1
130,2
131,1
133,3
134,1
135,3
136,1
137,0
138,2
139,3
140,3
141,1
142,2
143,1
144,1
145,2
146,1
147,0
148,3
149,3
150,2
151,2
152,2
153,0
154,3
155,2
156,0
157,2
158,3
160,1
161,0
162,1
163,2
165,1
166,1
167,1
168,0
170,3
171,2
172,0
173,1
174,0
176,2
177,1
178,2
179,1
180,0
181,1
182,3
183,2
185,1
186,2
188,1
189,0
191,1
192,2
193,2
194,0
195,3
196,2
197,1
198,1
199,1
200,1
201,2
202,1
203,2
204,2
205,1
206,2
207,2
208,2
209,2
210,2
211,1
212,1
213,1
214,1
216,3
217,0
218,2
219,0
220,2
221,3
222,1
223,2
225,3
226,1
228,1
230,0
231,1
232,3
233,1
234,2
235,1
236,2
237,1
238,1
239,3
240,1
242,1
243,0
244,1
245,2
247,1
248,1
249,0
250,1
252,2
253,2
254,2
255,1
256,2
257,0
258,3
259,1
260,2
261,1
262,1
263,1
264,3
265,0
266,2
267,0
268,2
269,1
270,2
271,2
272,2
273,1
274,1
275,1
276,2
277,0
278,1
279,1
280,1
281,1
282,1
283,2
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,2
293,1
294,0
295,1
296,1
297,2
298,2
300,0
301,0
302,3
303,1
304,1
305,1
306,3
307,0
308,1
309,1
310,2
311,2
312,1
313,1
314,2
315,3
316,3
318,0
319,1
320,1
321,1
322,1
323,1
324,0
325,2
326,0
327,1
328,0
329,2
330,2
331,0
332,0
333,1
334,1
335,1
336,2
337,0
338,2
339,1
340,1
342,0
343,1
344,1
345,3
346,3
347,2
348,0
349,1
350,2
351,1
352,0
353,1
354,0
355,0
356,3
357,3
358,2
359,0
360,2
361,2
362,1
363,3
364,2
365,3
366,3
367,2
368,1
369,2
370,2
371,1
373,1
374,2
375,2
376,3
377,1
378,0
379,2
380,0
381,0
382,1
383,3
385,0
386,1
387,2
388,2
389,2
390,1
391,1
392,3
393,1
394,2
395,0
396,2
397,1
398,0
399,1
400,1
402,2
403,1
404,0
405,2
406,1
407,0
409,0
410,1
411,0
412,0
413,1
414,2
415,3
416,2
417,1
418,2
419,2
420,3
421,2
422,1
423,2
424,2
425,2
426,1
427,2
429,2
430,1
431,0
432,0
433,2
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,2
447,2
448,2
449,0
450,3
451,2
452,2
453,1
454,1
455,2
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,2
464,0
466,2
467,0
468,1
469,3
470,2
471,1
472,1
473,3
474,0
475,3
476,1
477,1
478,3
479,2
480,1
481,1
482,1
483,2
484,1
485,0
486,1
487,3
488,2
489,0
490,1
491,0
492,3
493,1
494,2
495,2
496,2
497,3
498,2
499,0
500,1
501,2
502,0
503,2
504,1
505,1
506,0
507,2
509,2
510,2
511,1
512,2
513,2
514,2
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
524,2
525,1
527,0
528,2
529,2
530,2
531,1
532,2
533,1
535,1
537,0
538,3
539,3
540,2
541,0
542,1
543,3
544,1
545,3
546,1
547,1
548,2
549,1
550,1
551,2
553,2
554,1
555,2
556,3
557,2
558,0
559,1
560,1
561,1
562,2
563,1
564,2
565,2
566,1
567,1
568,1
569,1
570,2
571,0
572,0
573,2
574,1
575,1
576,3
577,1
578,1
579,1
580,0
581,3
582,3
583,2
585,3
586,0
587,1
588,2
589,2
590,1
591,1
592,2
593,1
594,2
595,2
596,1
597,2
598,1
600,1
601,1
602,2
603,2
604,0
605,0
606,3
607,0
608,1
609,3
610,3
611,1
612,1
613,1
614,2
615,1
616,2
617,0
618,1
619,1
620,1
621,1
622,1
624,0
625,2
626,2
627,3
628,0
629,3
630,2
632,3
633,1
634,1
635,2
636,1
637,3
638,2
639,2
640,2
641,1
642,1
643,1
644,2
645,1
647,1
648,2
649,0
650,3
651,0
652,2
653,1
654,1
655,1
656,0
657,1
658,1
659,2
660,2
661,1
662,1
663,1
664,2
665,2
666,2
667,2
668,3
669,3
670,3
671,0
672,1
673,1
674,2
675,3
676,3
677,1
678,2
680,1
681,3
682,1
683,1
684,2
685,1
686,2
687,2
688,1
689,0
690,3
691,1
692,2
693,3
694,1
695,1
696,1
697,1
698,1
700,0
701,2
702,3
703,0
704,1
705,2
706,1
707,1
708,0
709,1
710,1
711,3
713,0
714,2
715,1
716,1
717,1
718,3
719,1
720,1
721,1
722,1
723,3
726,2
728,3
729,1
730,1
731,3
732,1
733,0
734,2
735,2
736,1
737,1
738,1
739,3
740,1
741,2
742,3
743,1
744,0
745,3
746,0
747,3
748,0
749,0
750,2
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,2
761,3
762,1
763,1
764,1
765,3
766,1
767,3
768,3
770,1
771,2
773,1
774,3
775,1
776,2
777,3
778,1
779,1
780,2
781,1
782,2
783,2
784,0
785,1
786,2
787,1
788,0
789,2
790,0
791,3
793,3
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,2
803,2
804,1
805,3
806,2
807,1
808,0
809,1
810,2
811,1
812,1
813,3
814,1
816,0
817,3
818,1
819,2
820,1
821,1
822,1
823,2
824,1
825,3
826,3
827,1
828,3
829,0
830,3
831,1
832,1
833,1
834,2
835,0
836,0
837,1
838,1
840,1
841,2
842,1
843,3
844,3
845,1
846,1
847,1
848,0
849,0
850,3
851,1
852,1
853,0
854,1
855,1
856,2
857,2
858,1
859,1
860,3
862,1
863,3
864,1
865,3
866,2
867,1
868,0
869,0
870,2
871,2
872,3
873,1
874,0
875,1
876,2
877,3
878,2
879,1
880,2
881,0
882,2
883,3
884,0
885,3
886,3
888,0
889,2
890,0
891,3
892,1
893,1
895,1
896,0
898,1
899,0
